"ID","ReputationIndex","ReputationRaceMask_1","ReputationRaceMask_2","ReputationRaceMask_3","ReputationRaceMask_4","ReputationClassMask_1","ReputationClassMask_2","ReputationClassMask_3","ReputationClassMask_4","ReputationBase_1","ReputationBase_2","ReputationBase_3","ReputationBase_4","ReputationFlags_1","ReputationFlags_2","ReputationFlags_3","ReputationFlags_4","ParentFactionID","ParentFactionMod_1","ParentFactionMod_2","ParentFactionCap_1","ParentFactionCap_2","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask"
"1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Human","플레이어 - 인간","JOUEUR, Humain","SPIELER, Mensch","人类(玩家)","","JUGADOR, humano","JUGADOR, humano","ИГРОК: человек","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"2","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Orc","플레이어 - 오크","JOUEUR, Orc","SPIELER, Orc","兽人(玩家)","","JUGADOR, orco","JUGADOR, orco","ИГРОК: орк","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"3","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Dwarf","플레이어 - 드워프","JOUEUR, Nain","SPIELER, Zwerg","矮人(玩家)","","JUGADOR, enano","JUGADOR, enano","ИГРОК: дворф","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"4","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Night Elf","플레이어 - 나이트 엘프","JOUEUR, Elfe de la nuit","SPIELER, Nachtelf","暗夜精灵(玩家)","","JUGADOR, elfo de la noche","JUGADOR, elfo de la noche","ИГРОК: Ночной эльф","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"5","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Undead","플레이어 - 언데드","JOUEUR, Mort-vivant","SPIELER, Untoter","亡灵(玩家)","","JUGADOR, no-muerto","JUGADOR, no-muerto","ИГРОК: нежить","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190"
"6","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Tauren ","플레이어 - 타우렌","JOUEUR, Tauren","SPIELER, Tauren","牛头人(玩家)","","JUGADOR, tauren","JUGADOR, tauren","ИГРОК: таурен","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"7","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Creature","생물","Créature","Kreatur","生物","","Criatura","Criatura","Существо","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"8","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Gnome","플레이어 - 노움","JOUEUR, Gnome","SPIELER, Gnom","侏儒(玩家)","","JUGADOR, gnomo","JUGADOR, gnomo","ИГРОК: гном","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"9","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","PLAYER, Troll","플레이어 - 트롤","JOUEUR, Troll","SPIELER, Troll","巨魔(玩家)","","JUGADOR, trol","JUGADOR, trol","ИГРОК: тролль","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"14","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Monster","몬스터","Monstre","Monster","怪物","","Monstruo","Monstruo","Монстр","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"15","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Defias Brotherhood","데피아즈 결사단","Confrérie défias","Bruderschaft der Def","迪菲亚盗贼","","Hermandad Defias","Hermandad Defias","Братство Справедливости","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"16","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Gnoll - Riverpaw","놀 - 갈퀴발일족","Gnoll - Rivepatte","Gnoll - Flusspfoten","河爪豺狼人","","Gnoll: Zarparrío","Gnoll: Zarparrío","Гнолл: Речная Лапа","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
